userName,score,at,content,content_tokens,content_tokens_fdist,content_tokens_WSW,content_normalized,content_tokens_stemmed,polarity_score,polarity
Anto Nie,1,2022-07-30 4:53:12,aplikasi perbankan burukdaftar selalu gagal link tidak validpayah developer programnyamending transaksi konvensional kalau aplikasinya mau daftar aja gagal teru,"['aplikasi', 'perbankan', 'burukdaftar', 'selalu', 'gagal', 'link', 'tidak', 'validpayah', 'developer', 'programnyamending', 'transaksi', 'konvensional', 'kalau', 'aplikasinya', 'mau', 'daftar', 'aja', 'gagal', 'terus']",<FreqDist with 18 samples and 19 outcomes>,"['aplikasi', 'perbankan', 'burukdaftar', 'gagal', 'link', 'validpayah', 'developer', 'programnyamending', 'transaksi', 'konvensional', 'aplikasinya', 'daftar', 'gagal']","['aplikasi', 'perbankan', 'burukdaftar', 'gagal', 'link', 'validpayah', 'developer', 'programnyamending', 'transaksi', 'konvensional', 'aplikasinya', 'daftar', 'gagal']","['aplikasi', 'perban', 'burukdaftar', 'gagal', 'link', 'validpayah', 'developer', 'programnyamending', 'transaksi', 'konvensional', 'aplikasi', 'daftar', 'gagal']",-17,negative
Angellia Chanel,1,2022-07-30 4:28:01,mudah digunakan fiturnya lengkap tampilan menarik lancar dan mantap,"['mudah', 'digunakan', 'fiturnya', 'lengkap', 'tampilan', 'menarik', 'lancar', 'dan', 'mantap']",<FreqDist with 9 samples and 9 outcomes>,"['mudah', 'fiturnya', 'lengkap', 'tampilan', 'menarik', 'lancar', 'mantap']","['mudah', 'fiturnya', 'lengkap', 'tampilan', 'menarik', 'lancar', 'mantap']","['mudah', 'fiturnya', 'lengkap', 'tampil', 'tarik', 'lancar', 'mantap']",9,positive
Serly Astarina,1,2022-07-30 3:55:37,ok membuat transaksi lebih mudah dan efisien mudah digunakan fiturnya lengkap,"['ok', 'membuat', 'transaksi', 'lebih', 'mudah', 'dan', 'efisien', 'mudah', 'digunakan', 'fiturnya', 'lengkap']",<FreqDist with 10 samples and 11 outcomes>,"['transaksi', 'mudah', 'efisien', 'mudah', 'fiturnya', 'lengkap']","['transaksi', 'mudah', 'efisien', 'mudah', 'fiturnya', 'lengkap']","['transaksi', 'mudah', 'efisien', 'mudah', 'fiturnya', 'lengkap']",13,positive
Nur Abidin,1,2022-07-30 3:25:09,lebih mudah dan nyaman puas banget lancar dan cepat,"['lebih', 'mudah', 'dan', 'nyaman', 'puas', 'banget', 'lancar', 'dan', 'cepat']",<FreqDist with 8 samples and 9 outcomes>,"['mudah', 'nyaman', 'puas', 'banget', 'lancar', 'cepat']","['mudah', 'nyaman', 'puas', 'banget', 'lancar', 'cepat']","['mudah', 'nyaman', 'puas', 'banget', 'lancar', 'cepat']",12,positive
Extreme Cell,2,2022-07-30 3:09:16,daftarnya susah verifikasi terus berulang padahal data sdh benar jd makin sulit harusnya jd makin mudah tp ini malah sebaliknya,"['daftarnya', 'susah', 'verifikasi', 'terus', 'berulang', 'padahal', 'data', 'sdh', 'benar', 'jd', 'makin', 'sulit', 'harusnya', 'jd', 'makin', 'mudah', 'tp', 'ini', 'malah', 'sebaliknya']",<FreqDist with 18 samples and 20 outcomes>,"['daftarnya', 'susah', 'verifikasi', 'berulang', 'data', 'sulit', 'mudah']","['daftarnya', 'susah', 'verifikasi', 'berulang', 'data', 'sulit', 'mudah']","['daftar', 'susah', 'verifikasi', 'ulang', 'data', 'sulit', 'mudah']",-5,negative
Nani Sumarni,5,2022-07-30 2:02:16,sangat membantu sekalijika butuh token listrikga usah pergi ke kontertinggal pake aplikasilangsung terkirimakses cepatga ribet pula,"['sangat', 'membantu', 'sekalijika', 'butuh', 'token', 'listrikga', 'usah', 'pergi', 'ke', 'kontertinggal', 'pake', 'aplikasilangsung', 'terkirimakses', 'cepatga', 'ribet', 'pula']",<FreqDist with 16 samples and 16 outcomes>,"['membantu', 'sekalijika', 'butuh', 'token', 'listrikga', 'pergi', 'kontertinggal', 'pake', 'aplikasilangsung', 'terkirimakses', 'cepatga', 'ribet']","['membantu', 'sekalijika', 'butuh', 'token', 'listrikga', 'pergi', 'kontertinggal', 'pakai', 'aplikasilangsung', 'terkirimakses', 'cepatga', 'ribet']","['bantu', 'sekalijika', 'butuh', 'token', 'listrikga', 'pergi', 'kontertinggal', 'pakai', 'aplikasilangsung', 'terkirimakses', 'cepatga', 'ribet']",-12,negative
Hery Pratama,1,2022-07-30 1:51:16,aplikasi jelek mau daftar brimo aja ribet pas di bikin rekaman video nya gagal terus padahal udh ngikutin caranya tapi ttep aja ga bisa udh ya tmn buat kalian jangan maksain daftar brimo deh pasti bikin emosi dan buang kuota aja,"['aplikasi', 'jelek', 'mau', 'daftar', 'brimo', 'aja', 'ribet', 'pas', 'di', 'bikin', 'rekaman', 'video', 'nya', 'gagal', 'terus', 'padahal', 'udh', 'ngikutin', 'caranya', 'tapi', 'ttep', 'aja', 'ga', 'bisa', 'udh', 'ya', 'tmn', 'buat', 'kalian', 'jangan', 'maksain', 'daftar', 'brimo', 'deh', 'pasti', 'bikin', 'emosi', 'dan', 'buang', 'kuota', 'aja']",<FreqDist with 35 samples and 41 outcomes>,"['aplikasi', 'jelek', 'daftar', 'brimo', 'ribet', 'pas', 'rekaman', 'video', 'gagal', 'udh', 'ngikutin', 'ttep', 'udh', 'tmn', 'maksain', 'daftar', 'brimo', 'emosi', 'buang', 'kuota']","['aplikasi', 'jelek', 'daftar', 'brimo', 'ribet', 'pas', 'rekaman', 'video', 'gagal', 'sudah', 'ngikutin', 'ttep', 'sudah', 'teman', 'memaksa', 'daftar', 'brimo', 'emosi', 'buang', 'kuota']","['aplikasi', 'jelek', 'daftar', 'brimo', 'ribet', 'pas', 'rekam', 'video', 'gagal', 'sudah', 'ngikutin', 'ttep', 'sudah', 'teman', 'paksa', 'daftar', 'brimo', 'emosi', 'buang', 'kuota']",-29,negative
Luluk Uul,1,2022-07-30 1:48:18,kecewa sekalidaftar berkali kali tetap tulisan nya salah padahal sudah benarmalah ada yang tulisan nik tidak terdaftarjelas jelas nik saya terdaftar mau sampai kapan nasabah mengeluh kenapa bri kok seperti ini ya padahal bank lain sudah bisa dengan lancar tolong dong diperbaiki banyak yang mengeluh,"['kecewa', 'sekalidaftar', 'berkali', 'kali', 'tetap', 'tulisan', 'nya', 'salah', 'padahal', 'sudah', 'benarmalah', 'ada', 'yang', 'tulisan', 'nik', 'tidak', 'terdaftarjelas', 'jelas', 'nik', 'saya', 'terdaftar', 'mau', 'sampai', 'kapan', 'nasabah', 'mengeluh', 'kenapa', 'bri', 'kok', 'seperti', 'ini', 'ya', 'padahal', 'bank', 'lain', 'sudah', 'bisa', 'dengan', 'lancar', 'tolong', 'dong', 'diperbaiki', 'banyak', 'yang', 'mengeluh']",<FreqDist with 39 samples and 45 outcomes>,"['kecewa', 'sekalidaftar', 'berkali', 'tulisan', 'salah', 'benarmalah', 'tulisan', 'nik', 'terdaftarjelas', 'nik', 'terdaftar', 'nasabah', 'mengeluh', 'bri', 'bank', 'lancar', 'tolong', 'diperbaiki', 'mengeluh']","['kecewa', 'sekalidaftar', 'berkali', 'tulisan', 'salah', 'benarmalah', 'tulisan', 'nik', 'terdaftarjelas', 'nik', 'terdaftar', 'nasabah', 'mengeluh', 'bri', 'bank', 'lancar', 'tolong', 'diperbaiki', 'mengeluh']","['kecewa', 'sekalidaftar', 'kali', 'tulis', 'salah', 'benarmalah', 'tulis', 'nik', 'terdaftarjelas', 'nik', 'daftar', 'nasabah', 'keluh', 'bri', 'bank', 'lancar', 'tolong', 'baik', 'keluh']",0,negative
Nurlian Lestari,1,2022-07-30 1:02:57,memiliki fitur yang lengkap mudah digunakan ui bagus dan praktis digunakan seharihari,"['memiliki', 'fitur', 'yang', 'lengkap', 'mudah', 'digunakan', 'ui', 'bagus', 'dan', 'praktis', 'digunakan', 'seharihari']",<FreqDist with 11 samples and 12 outcomes>,"['memiliki', 'fitur', 'lengkap', 'mudah', 'ui', 'bagus', 'praktis', 'seharihari']","['memiliki', 'fitur', 'lengkap', 'mudah', 'universitasindonesia', 'bagus', 'praktis', 'seharihari']","['milik', 'fitur', 'lengkap', 'mudah', 'universitasindonesia', 'bagus', 'praktis', 'seharihari']",5,positive
normen black,1,2022-07-30 0:24:30,sangat membantu mudah dan simpel penggunaan makasih brimo,"['sangat', 'membantu', 'mudah', 'dan', 'simpel', 'penggunaan', 'makasih', 'brimo']",<FreqDist with 8 samples and 8 outcomes>,"['membantu', 'mudah', 'simpel', 'penggunaan', 'makasih', 'brimo']","['membantu', 'mudah', 'simpel', 'penggunaan', 'terimakasih', 'brimo']","['bantu', 'mudah', 'simpel', 'guna', 'terimakasih', 'brimo']",11,positive
Noper Tulak,1,2022-07-29 23:44:53,sudah berulangulang kali daftar brimo tp selalu gagal pada tahap awal pada saat ambil foto ktp setelah foto diambil langsung tidak ada respon dari aplikasinya,"['sudah', 'berulangulang', 'kali', 'daftar', 'brimo', 'tp', 'selalu', 'gagal', 'pada', 'tahap', 'awal', 'pada', 'saat', 'ambil', 'foto', 'ktp', 'setelah', 'foto', 'diambil', 'langsung', 'tidak', 'ada', 'respon', 'dari', 'aplikasinya']",<FreqDist with 23 samples and 25 outcomes>,"['berulangulang', 'daftar', 'brimo', 'gagal', 'tahap', 'ambil', 'foto', 'ktp', 'foto', 'diambil', 'respon', 'aplikasinya']","['berulangulang', 'daftar', 'brimo', 'gagal', 'tahap', 'ambil', 'foto', 'kartutandapenduduk', 'foto', 'diambil', 'respon', 'aplikasinya']","['berulangulang', 'daftar', 'brimo', 'gagal', 'tahap', 'ambil', 'foto', 'kartutandapenduduk', 'foto', 'ambil', 'respon', 'aplikasi']",-12,negative
Dwi Zuli Arisandy,5,2022-07-29 22:32:04,aplikasi brimo sangat bermanfaat dalam setiap transaksi simpel mudah digunakan disertai fitur yang sangat lengkap tingkat keamanan nasabah juga terjamin,"['aplikasi', 'brimo', 'sangat', 'bermanfaat', 'dalam', 'setiap', 'transaksi', 'simpel', 'mudah', 'digunakan', 'disertai', 'fitur', 'yang', 'sangat', 'lengkap', 'tingkat', 'keamanan', 'nasabah', 'juga', 'terjamin']",<FreqDist with 19 samples and 20 outcomes>,"['aplikasi', 'brimo', 'bermanfaat', 'transaksi', 'simpel', 'mudah', 'disertai', 'fitur', 'lengkap', 'tingkat', 'keamanan', 'nasabah', 'terjamin']","['aplikasi', 'brimo', 'bermanfaat', 'transaksi', 'simpel', 'mudah', 'disertai', 'fitur', 'lengkap', 'tingkat', 'keamanan', 'nasabah', 'terjamin']","['aplikasi', 'brimo', 'manfaat', 'transaksi', 'simpel', 'mudah', 'serta', 'fitur', 'lengkap', 'tingkat', 'aman', 'nasabah', 'jamin']",12,positive
lutfi aman,1,2022-07-29 22:27:06,daftar brimo aja susahnya minta ampun udah pake wifi mb pake kuota sendiri pake hotspot tetep aja gagal karna koneksi padahal udah dapet email berhasil dari privyid berkali tapi di aplikasi ini disuruh rekam teru,"['daftar', 'brimo', 'aja', 'susahnya', 'minta', 'ampun', 'udah', 'pake', 'wifi', 'mb', 'pake', 'kuota', 'sendiri', 'pake', 'hotspot', 'tetep', 'aja', 'gagal', 'karna', 'koneksi', 'padahal', 'udah', 'dapet', 'email', 'berhasil', 'dari', 'privyid', 'berkali', 'tapi', 'di', 'aplikasi', 'ini', 'disuruh', 'rekam', 'terus']",<FreqDist with 31 samples and 35 outcomes>,"['daftar', 'brimo', 'susahnya', 'ampun', 'pake', 'wifi', 'pake', 'kuota', 'pake', 'hotspot', 'tetep', 'gagal', 'karna', 'koneksi', 'dapet', 'email', 'berhasil', 'privyid', 'berkali', 'aplikasi', 'disuruh', 'rekam']","['daftar', 'brimo', 'susahnya', 'ampun', 'pakai', 'wifi', 'pakai', 'kuota', 'pakai', 'hotspot', 'tetep', 'gagal', 'karena', 'koneksi', 'dapat', 'email', 'berhasil', 'privyid', 'berkali', 'aplikasi', 'disuruh', 'rekam']","['daftar', 'brimo', 'susah', 'ampun', 'pakai', 'wifi', 'pakai', 'kuota', 'pakai', 'hotspot', 'tetep', 'gagal', 'karena', 'koneksi', 'dapat', 'email', 'hasil', 'privyid', 'kali', 'aplikasi', 'suruh', 'rekam']",-22,negative
Nurhasanah,5,2022-07-29 15:24:55,selama menggunakan apk brimo ini saya belum terjadi error sistem penggunaan penyimpanan sedikit jadi ringan untuk di download di playstore thank  bri telah memudahkan transaksi saya dgn aman,"['selama', 'menggunakan', 'apk', 'brimo', 'ini', 'saya', 'belum', 'terjadi', 'error', 'sistem', 'penggunaan', 'penyimpanan', 'sedikit', 'jadi', 'ringan', 'untuk', 'di', 'download', 'di', 'playstore', 'thank', 'bri', 'telah', 'memudahkan', 'transaksi', 'saya', 'dgn', 'aman']",<FreqDist with 26 samples and 28 outcomes>,"['apk', 'brimo', 'error', 'sistem', 'penggunaan', 'penyimpanan', 'ringan', 'download', 'playstore', 'thank', 'bri', 'memudahkan', 'transaksi', 'aman']","['apk', 'brimo', 'error', 'sistem', 'penggunaan', 'penyimpanan', 'ringan', 'download', 'playstore', 'thank', 'bri', 'memudahkan', 'transaksi', 'aman']","['apk', 'brimo', 'error', 'sistem', 'guna', 'simpan', 'ringan', 'download', 'playstore', 'thank', 'bri', 'mudah', 'transaksi', 'aman']",1,positive
taufik rafanovic,5,2022-07-29 15:20:27,transaksi lebih cepat mudah keamanan tentunya terjamin dan semoga semakin lebih baik dan maju lagi untuk kepuasan dan kemudahan nasabah serta banyak lagi promo dan bonus nya thanks dan sukses selalu,"['transaksi', 'lebih', 'cepat', 'mudah', 'keamanan', 'tentunya', 'terjamin', 'dan', 'semoga', 'semakin', 'lebih', 'baik', 'dan', 'maju', 'lagi', 'untuk', 'kepuasan', 'dan', 'kemudahan', 'nasabah', 'serta', 'banyak', 'lagi', 'promo', 'dan', 'bonus', 'nya', 'thanks', 'dan', 'sukses', 'selalu']",<FreqDist with 25 samples and 31 outcomes>,"['transaksi', 'cepat', 'mudah', 'keamanan', 'terjamin', 'semoga', 'maju', 'kepuasan', 'kemudahan', 'nasabah', 'promo', 'bonus', 'thanks', 'sukses']","['transaksi', 'cepat', 'mudah', 'keamanan', 'terjamin', 'semoga', 'maju', 'kepuasan', 'kemudahan', 'nasabah', 'promo', 'bonus', 'terimakasih', 'sukses']","['transaksi', 'cepat', 'mudah', 'aman', 'jamin', 'moga', 'maju', 'puas', 'mudah', 'nasabah', 'promo', 'bonus', 'terimakasih', 'sukses']",25,positive
Muhammad Akmal,1,2022-07-29 14:50:26,mau daftar akun baru brimo di step buat video detik di suruh ulang terus dengan alasan jaringan tidak stabil padahal jaringan bagus bagus aja tidak ada kendala hubungi cs whatsapp lama di balas tolong diperbaiki dong kesalahannya di programmer atau di sistemnya nih,"['mau', 'daftar', 'akun', 'baru', 'brimo', 'di', 'step', 'buat', 'video', 'detik', 'di', 'suruh', 'ulang', 'terus', 'dengan', 'alasan', 'jaringan', 'tidak', 'stabil', 'padahal', 'jaringan', 'bagus', 'bagus', 'aja', 'tidak', 'ada', 'kendala', 'hubungi', 'cs', 'whatsapp', 'lama', 'di', 'balas', 'tolong', 'diperbaiki', 'dong', 'kesalahannya', 'di', 'programmer', 'atau', 'di', 'sistemnya', 'nih']",<FreqDist with 36 samples and 43 outcomes>,"['daftar', 'akun', 'brimo', 'step', 'video', 'detik', 'suruh', 'ulang', 'alasan', 'jaringan', 'stabil', 'jaringan', 'bagus', 'bagus', 'kendala', 'hubungi', 'cs', 'whatsapp', 'balas', 'tolong', 'diperbaiki', 'kesalahannya', 'programmer', 'sistemnya']","['daftar', 'akun', 'brimo', 'step', 'video', 'detik', 'suruh', 'ulang', 'alasan', 'jaringan', 'stabil', 'jaringan', 'bagus', 'bagus', 'kendala', 'hubungi', 'cs', 'whatsapp', 'balas', 'tolong', 'diperbaiki', 'kesalahannya', 'programmer', 'sistemnya']","['daftar', 'akun', 'brimo', 'step', 'video', 'detik', 'suruh', 'ulang', 'alas', 'jaring', 'stabil', 'jaring', 'bagus', 'bagus', 'kendala', 'hubung', 'cs', 'whatsapp', 'balas', 'tolong', 'baik', 'salah', 'programmer', 'sistem']",-11,negative
Emanuel Sodang,1,2022-07-29 14:11:43,saya sangat senang dengan aplikasi ini memiliki fitur yang lengkap mudah digunakan ui bagus dan praktis digunakan,"['saya', 'sangat', 'senang', 'dengan', 'aplikasi', 'ini', 'memiliki', 'fitur', 'yang', 'lengkap', 'mudah', 'digunakan', 'ui', 'bagus', 'dan', 'praktis', 'digunakan']",<FreqDist with 16 samples and 17 outcomes>,"['senang', 'aplikasi', 'memiliki', 'fitur', 'lengkap', 'mudah', 'ui', 'bagus', 'praktis']","['senang', 'aplikasi', 'memiliki', 'fitur', 'lengkap', 'mudah', 'universitasindonesia', 'bagus', 'praktis']","['senang', 'aplikasi', 'milik', 'fitur', 'lengkap', 'mudah', 'universitasindonesia', 'bagus', 'praktis']",2,positive
Leon France,5,2022-07-29 12:20:02,sangat membantu dan simpel penggunaan mudah dan mantap makasih brimo,"['sangat', 'membantu', 'dan', 'simpel', 'penggunaan', 'mudah', 'dan', 'mantap', 'makasih', 'brimo']",<FreqDist with 9 samples and 10 outcomes>,"['membantu', 'simpel', 'penggunaan', 'mudah', 'mantap', 'makasih', 'brimo']","['membantu', 'simpel', 'penggunaan', 'mudah', 'mantap', 'terimakasih', 'brimo']","['bantu', 'simpel', 'guna', 'mudah', 'mantap', 'terimakasih', 'brimo']",16,positive
Yoga Adi Prasetio,1,2022-07-29 11:41:31,mudah digunakan simpel bagus dan lancar aplikasi yang sangat bermanfaat,"['mudah', 'digunakan', 'simpel', 'bagus', 'dan', 'lancar', 'aplikasi', 'yang', 'sangat', 'bermanfaat']",<FreqDist with 10 samples and 10 outcomes>,"['mudah', 'simpel', 'bagus', 'lancar', 'aplikasi', 'bermanfaat']","['mudah', 'simpel', 'bagus', 'lancar', 'aplikasi', 'bermanfaat']","['mudah', 'simpel', 'bagus', 'lancar', 'aplikasi', 'manfaat']",7,positive
ajisantt,1,2022-07-29 11:40:55,memiliki fitur yang lengkap mudah digunakan ui bagus dan praktis digunakan seharihari,"['memiliki', 'fitur', 'yang', 'lengkap', 'mudah', 'digunakan', 'ui', 'bagus', 'dan', 'praktis', 'digunakan', 'seharihari']",<FreqDist with 11 samples and 12 outcomes>,"['memiliki', 'fitur', 'lengkap', 'mudah', 'ui', 'bagus', 'praktis', 'seharihari']","['memiliki', 'fitur', 'lengkap', 'mudah', 'universitasindonesia', 'bagus', 'praktis', 'seharihari']","['milik', 'fitur', 'lengkap', 'mudah', 'universitasindonesia', 'bagus', 'praktis', 'seharihari']",5,positive
Syukron Trials,1,2022-07-29 11:40:06,simpel mudah praktis pokok nya the best deh sukses selalu brimo,"['simpel', 'mudah', 'praktis', 'pokok', 'nya', 'the', 'best', 'deh', 'sukses', 'selalu', 'brimo']",<FreqDist with 11 samples and 11 outcomes>,"['simpel', 'mudah', 'praktis', 'pokok', 'best', 'sukses', 'brimo']","['simpel', 'mudah', 'praktis', 'pokok', 'best', 'sukses', 'brimo']","['simpel', 'mudah', 'praktis', 'pokok', 'best', 'sukses', 'brimo']",13,positive
Komang Ariya,5,2022-07-29 11:16:50,bermanfaat dan mempermudah tanpa keluar rumah untuk ber transaksi antar bank jika sobat ada kendala untuk pendaftaran saya sarankan mending langsung ke bank bri terdekat untuk mempermudah sobat mendaftar dan yang pasti dipandu langsung sama pihak bank,"['bermanfaat', 'dan', 'mempermudah', 'tanpa', 'keluar', 'rumah', 'untuk', 'ber', 'transaksi', 'antar', 'bank', 'jika', 'sobat', 'ada', 'kendala', 'untuk', 'pendaftaran', 'saya', 'sarankan', 'mending', 'langsung', 'ke', 'bank', 'bri', 'terdekat', 'untuk', 'mempermudah', 'sobat', 'mendaftar', 'dan', 'yang', 'pasti', 'dipandu', 'langsung', 'sama', 'pihak', 'bank']",<FreqDist with 29 samples and 37 outcomes>,"['bermanfaat', 'mempermudah', 'rumah', 'transaksi', 'bank', 'sobat', 'kendala', 'pendaftaran', 'sarankan', 'mending', 'bank', 'bri', 'terdekat', 'mempermudah', 'sobat', 'mendaftar', 'dipandu', 'bank']","['bermanfaat', 'mempermudah', 'rumah', 'transaksi', 'bank', 'sobat', 'kendala', 'pendaftaran', 'sarankan', 'lebihbaik', 'bank', 'bri', 'terdekat', 'mempermudah', 'sobat', 'mendaftar', 'dipandu', 'bank']","['manfaat', 'mudah', 'rumah', 'transaksi', 'bank', 'sobat', 'kendala', 'daftar', 'saran', 'lebihbaik', 'bank', 'bri', 'dekat', 'mudah', 'sobat', 'daftar', 'pandu', 'bank']",10,positive
Ahmad Darby,1,2022-07-29 10:37:42,kalian itu bukan mempermudah tapi mempersulit udah paling benar pakai kartu debit daftar aja dipersulit hilangkan aja ide kalian tentang brimo ini,"['kalian', 'itu', 'bukan', 'mempermudah', 'tapi', 'mempersulit', 'udah', 'paling', 'benar', 'pakai', 'kartu', 'debit', 'daftar', 'aja', 'dipersulit', 'hilangkan', 'aja', 'ide', 'kalian', 'tentang', 'brimo', 'ini']",<FreqDist with 20 samples and 22 outcomes>,"['mempermudah', 'mempersulit', 'pakai', 'kartu', 'debit', 'daftar', 'dipersulit', 'hilangkan', 'ide', 'brimo']","['mempermudah', 'mempersulit', 'pakai', 'kartu', 'debit', 'daftar', 'dipersulit', 'hilangkan', 'ide', 'brimo']","['mudah', 'sulit', 'pakai', 'kartu', 'debit', 'daftar', 'sulit', 'hilang', 'ide', 'brimo']",0,negative
Hendrik Sayidul Kaunain,1,2022-07-29 9:33:30,ok membuat transaksi lebih mudah dan efisien cepat dan lancar,"['ok', 'membuat', 'transaksi', 'lebih', 'mudah', 'dan', 'efisien', 'cepat', 'dan', 'lancar']",<FreqDist with 9 samples and 10 outcomes>,"['transaksi', 'mudah', 'efisien', 'cepat', 'lancar']","['transaksi', 'mudah', 'efisien', 'cepat', 'lancar']","['transaksi', 'mudah', 'efisien', 'cepat', 'lancar']",13,positive
Fakhrezi pratama Yudistira,1,2022-07-29 8:56:23,aplikasi sampah pas registrasi bagian video ikutin kalimat tidak bisa terproses nge stuck disitu terus jelek banget ini aplikasi,"['aplikasi', 'sampah', 'pas', 'registrasi', 'bagian', 'video', 'ikutin', 'kalimat', 'tidak', 'bisa', 'terproses', 'nge', 'stuck', 'disitu', 'terus', 'jelek', 'banget', 'ini', 'aplikasi']",<FreqDist with 18 samples and 19 outcomes>,"['aplikasi', 'sampah', 'pas', 'registrasi', 'video', 'ikutin', 'kalimat', 'terproses', 'stuck', 'disitu', 'jelek', 'banget', 'aplikasi']","['aplikasi', 'sampah', 'pas', 'registrasi', 'video', 'ikutin', 'kalimat', 'terproses', 'stuck', 'disitu', 'jelek', 'banget', 'aplikasi']","['aplikasi', 'sampah', 'pas', 'registrasi', 'video', 'ikutin', 'kalimat', 'proses', 'stuck', 'situ', 'jelek', 'banget', 'aplikasi']",-16,negative
Funky Arie,1,2022-07-29 8:32:41,bank yang mempunyai pelayanan buruk dari sistem maupun dari sdm nya padahal saya nasabah baru tapi di persulit saat verifikasi wajah detik dan saya wa cs bri tapi responnya lambat dan tidak ada solusinya dengan kendala saya payahhhhhhhhhh,"['bank', 'yang', 'mempunyai', 'pelayanan', 'buruk', 'dari', 'sistem', 'maupun', 'dari', 'sdm', 'nya', 'padahal', 'saya', 'nasabah', 'baru', 'tapi', 'di', 'persulit', 'saat', 'verifikasi', 'wajah', 'detik', 'dan', 'saya', 'wa', 'cs', 'bri', 'tapi', 'responnya', 'lambat', 'dan', 'tidak', 'ada', 'solusinya', 'dengan', 'kendala', 'saya', 'payahhhhhhhhhh']",<FreqDist with 33 samples and 38 outcomes>,"['bank', 'pelayanan', 'buruk', 'sistem', 'sdm', 'nasabah', 'persulit', 'verifikasi', 'wajah', 'detik', 'cs', 'bri', 'responnya', 'lambat', 'solusinya', 'kendala', 'payahhhhhhhhhh']","['bank', 'pelayanan', 'buruk', 'sistem', 'sdm', 'nasabah', 'persulit', 'verifikasi', 'wajah', 'detik', 'cs', 'bri', 'responnya', 'lambat', 'solusinya', 'kendala', 'payahhhhhhhhhh']","['bank', 'layan', 'buruk', 'sistem', 'sdm', 'nasabah', 'sulit', 'verifikasi', 'wajah', 'detik', 'cs', 'bri', 'responnya', 'lambat', 'solusi', 'kendala', 'payahhhhhhhhhh']",-1,negative
Sugeng Santoso,5,2022-07-29 8:30:46,kok banyak yg menilai jelek ya padahal saya download saya daftar langsung bisa dipakai sebenarnya td jg ragu ternyata tdk ada kendala samasekali foto selfi lancar pokoknya semua lancar atau rezeki saya trimakasih brimo trimakasih trimakasih sukses selalu,"['kok', 'banyak', 'yg', 'menilai', 'jelek', 'ya', 'padahal', 'saya', 'download', 'saya', 'daftar', 'langsung', 'bisa', 'dipakai', 'sebenarnya', 'td', 'jg', 'ragu', 'ternyata', 'tdk', 'ada', 'kendala', 'samasekali', 'foto', 'selfi', 'lancar', 'pokoknya', 'semua', 'lancar', 'atau', 'rezeki', 'saya', 'trimakasih', 'brimo', 'trimakasih', 'trimakasih', 'sukses', 'selalu']",<FreqDist with 33 samples and 38 outcomes>,"['menilai', 'jelek', 'download', 'daftar', 'dipakai', 'td', 'ragu', 'kendala', 'samasekali', 'foto', 'selfi', 'lancar', 'pokoknya', 'lancar', 'rezeki', 'trimakasih', 'brimo', 'trimakasih', 'trimakasih', 'sukses']","['menilai', 'jelek', 'download', 'daftar', 'dipakai', 'tadi', 'ragu', 'kendala', 'samasekali', 'foto', 'selfi', 'lancar', 'pokoknya', 'lancar', 'rezeki', 'trimakasih', 'brimo', 'trimakasih', 'trimakasih', 'sukses']","['nilai', 'jelek', 'download', 'daftar', 'pakai', 'tadi', 'ragu', 'kendala', 'samasekali', 'foto', 'selfi', 'lancar', 'pokok', 'lancar', 'rezeki', 'trimakasih', 'brimo', 'trimakasih', 'trimakasih', 'sukses']",20,positive
Fatan Al Fatah Hidayat,5,2022-07-29 8:04:25,satu yang kurang sekarang susahnya blanko kartu atm sedangkan atm pasti perlu tidak semuanya biasa dilakukan di brimo setor tunai aja tidak adanya cuma tarik tunai harusnya ada tambahan fitur setor tunai dan kartu atm yang include di aplikasinya,"['satu', 'yang', 'kurang', 'sekarang', 'susahnya', 'blanko', 'kartu', 'atm', 'sedangkan', 'atm', 'pasti', 'perlu', 'tidak', 'semuanya', 'biasa', 'dilakukan', 'di', 'brimo', 'setor', 'tunai', 'aja', 'tidak', 'adanya', 'cuma', 'tarik', 'tunai', 'harusnya', 'ada', 'tambahan', 'fitur', 'setor', 'tunai', 'dan', 'kartu', 'atm', 'yang', 'include', 'di', 'aplikasinya']",<FreqDist with 30 samples and 39 outcomes>,"['susahnya', 'blanko', 'kartu', 'atm', 'atm', 'brimo', 'setor', 'tunai', 'tarik', 'tunai', 'tambahan', 'fitur', 'setor', 'tunai', 'kartu', 'atm', 'include', 'aplikasinya']","['susahnya', 'blanko', 'kartu', 'atm', 'atm', 'brimo', 'setor', 'tunai', 'tarik', 'tunai', 'tambahan', 'fitur', 'setor', 'tunai', 'kartu', 'atm', 'include', 'aplikasinya']","['susah', 'blanko', 'kartu', 'atm', 'atm', 'brimo', 'setor', 'tunai', 'tarik', 'tunai', 'tambah', 'fitur', 'setor', 'tunai', 'kartu', 'atm', 'include', 'aplikasi']",7,positive
