userName,score,at,content
Sri Adilah Wardiani,5,2022-07-28 13:51:21,"Sangat membantu, Aplikasi Mobile yabg sangat bagus dari segi keamanan dan kenyamanan dalam bertransaksi. Tampilan sangat simple sehingga mudah dimengerti ukuran file yang kecil tidak memakan memori. Good job BRImo"
Wulan Septiani,5,2022-07-28 13:38:53,Aplikasinya bagus dan memuaskan sangat membantu dalam transaksi cepat apalagi kalo lupa kartu ATM juga dalam transaksi lainya cepat dan aman
Teti Amarwati,5,2022-07-28 13:11:57,"Terima kasih brimo aplikasinya sangat berguna sekali, tidak perlu susah2 ngantri di bank lagi.. mudah cepat dan tentunya bermanfaat"
Hilmi Gebyar Fadilah,5,2022-07-28 12:48:10,"Aplikasi yang bermanfaat untuk transaksi bank, memudahkan penggunanya dalam pemakaian dan minim kendala saat digunakan. Semoga bisa dikembangkan dan ditingkatkan lagi dalam pengelolaannya, so far so awesome! Thankyou BRI"
Alfian Najmi,1,2022-07-28 9:56:23,"Apk nya sangat jelek saya selalu mentok di perekaman vidio, padahal jaringan 4g full HP redmi note 10 kamera jernih perekaman di luar ruangan sangat terang tapi dibilang tidak ada koneksi,,,, sudah 10 kali coba di uninstal tetep seperti itu BRI SANGAT JELEK JANGAN MAU PAKE REKENING BRI UANG SAYA HANGUS 100 RIBU"
belina sari,2,2022-07-28 8:38:19,"Kirain pake aplikasi tambah mudah, eh ternyata saya salah persepsi haha apalagi pas buat rekaman video, emosi banget parah haha udah take beberapa kali, tp tetap aja gabisa2 hmmm,- mohon diperbaiki lagi yaa"
Alen Alen,1,2022-07-28 8:26:06,"memiliki fitur yang lengkap, mudah digunakan, UI bagus dan praktis digunakan sehari-hari"
Danil J T,1,2022-07-28 8:23:00,"Sangat membantu, mudah dan simpel penggunaan, makasih BRImo"
Adi gunawan,1,2022-07-28 8:20:38,"Verifikasi wajah gagal terus. Fitur di tambah, terus aplikasinya gak normal, katanya masalah jaringan, jaringan normal belum bisa juga verifikasi"
Jainudin Rasid,2,2022-07-28 7:58:58,"Saya beri bintang 2, karna saldo saya sering mengurang tanpa keterangan dan membuat saya bingun kenapa uang mengurang terus.! Kalau seperti ini lebih baik ngga usah nabung, karna semakin lama kita biarkan uang dalam ATM semakin berkurang uangnya.!"
zaenal Baehaki,1,2022-07-28 7:53:53,"sangat mengecewakan aplikasi nya, , baru mau daftar akun tapi baru sampe verifikasi no telepon link yang d beri selalu tidak valid, sudah bisa valid pas upload video selalu verifikasi wajah gagal"
Iqbal Girani,5,2022-07-28 7:46:34,"Applikasinya susah di download,, padahal sudah 100% tapi selalu kembali lagi ngulang dari 0%. Tolong perbaiki sistemnya."
Agus Santoso,1,2022-07-28 7:44:34,"Di update malah susah untuk melihat menu yang lainnya langsung hilang tulisan nya internet tidak aktif padahal pakai WI FI ,buat chatting WA dan nonton you tube aja lancar WI FI saya 😓"
Ropik Sariningsih,1,2022-07-28 7:44:25,"Aplikasi ini sekarang jelek banget, susah aktivasi, selalu gagal di bagian upload video Lebih bagus yang dulu gak perlu upload video dan foto, sekarang terlalu ribet!!!!!!!!"
Minul,5,2022-07-13 15:12:28,"Sangat mudah dipahami dan sangat membantu bgt. Semua kegiatan transaksi jadi bisa dipantau dengan cepat. Apa lagi buat transfer ke dompet digital, jadi ribet. Keren sih, mantab👍"
Jelita Sihombing,1,2022-07-28 7:20:22,"Aku sudah punya akun tapi mau masuk tidak bisa, selalu muncul tulisan koneksi terputus..sementara jaringan lancar, untuk bertransaksi jualan online pun jadi terhalang."
Huda Nurul,1,2022-07-28 6:36:28,Lebih mudah dan nyaman puas banget lancar dan cepat
Ahmad Solihin,2,2022-07-28 6:35:31,"Daftar gagal terus, keterangan cara mudah tidak perlu ke cabang, buktinya 0 besar, sudah banyak yg komplain termasuk sy selaku nasabah, tep tidak ada perbaikan, tolong dong di tingkatkan lg dan di permudah"
Gita Ligustiana,3,2022-07-28 6:19:00,Assalamualaikum saya dari dulu sampai sekrangs angat suka pake brimo namun entah kenapa hari ini saya coba gunakan apk ini untuk top up gopay gagal mulu transaksinya padahal jaringan bagus .... Mohonn segera diperbaiki agar bintangnya saya ubah jadi 5 Terimakasih
Miswoyanto Yanto,1,2022-07-28 6:06:32,"Selalu gagal pada upload verifikasi video, padahal jarjngan bagus...email perekaman berhasil dan dapat sertifikat..tapi di aplikasi Brimo gagal...padahal sudah setoran awal 1jt...gak jelas ni BRI makinlama...sudah keluh telpon dan email juga ga ada kejelasan, semua sudah dihubungi..tapi ga ada kejelasan"
Adde Nanda,1,2022-07-28 5:32:37,"memiliki fitur yang lengkap, mudah digunakan, UI bagus dan praktis digunakan sehari-hari"
abang Hendra,1,2022-07-28 5:30:27,"Sangat membantu, mudah dan simpel penggunaan, makasih BRImo"
Indah Simamora,3,2022-07-28 4:41:42,Ini gimana ya? Saya mau bikin daftar BRImo mandiri kok gk bisa2. Saya udh di step 3 merekam selama 8 detik tapi tdk bisa di simpan. Tolong dong di perbaiki yaa
Yusafarman Tafonao,5,2022-07-28 4:20:05,Sangat membantu dan simple sangat menggunakannya.Tetaplah menjadi Aplikasi yang siap sedia membantu para nasabah dalam hal transaksi keuangan tanpa harus ke Bank.Selamat buat BRIMobile...Semakin sukses...Amin
Yoan Shinta Dewi,3,2022-07-28 3:36:34,"Sampai kesel sendiri, daftar ga bisa"" .. padahal internet sinyal kenceng. Selalu gagal waktu upload video.mau tanya sebetulnya aplikasi ini bisa berfungsi atau tidak ya?"
Arya 2020,1,2022-07-28 3:27:05,"Saat melakukan bikin akun pas fto ktp susah difto sulit dideteksi padahal sudag bagus saat rekaman sering gagal pdhl sudah mengikuti intruksi lebih baik diperbaiki dulu aja apknya banyak kendala kesulitan bagi para pengguna baru.fto posisi berhadan sama kamera saja ftonya jdi jelek miring"" sendiri Kenapa saat rekaman selalu gagal selalu ngulang terus sudah coba berkali kali tetap gagal"
Heri Suryana,5,2022-07-12 6:44:50,"Mudah digunakan, fiturnya lengkap, tampilan menarik."
Krison Icon,1,2022-07-28 2:02:12,"Masih perlu banyak2 perbaikan aplikasi nya, verifikasi sms nya lama , verifikasi video nya gak bisa (tidak ada akses internet) padahalan sudah pakai wiffi dan jaringan lain"
hamiete andemar,1,2022-07-28 1:58:00,"Verifikasi wajah gagal terus, perasaan wajah masih sama kok bisa gagal?? Di coba lebih dari 50x masih gagal, Trus keterangan gagal nya tidak di beritahu, pasti alasannya, 1. jaringan internet kurang stabil 2. sistemnya lagi dalam perbaikan 3. Video tidak jelas, Padahal sebenarnya 1. Jaringan internet mantap, 2. Sistem lagi di perbaiki ko lama ada banyak yang kasih bintang 1 ko tidak di cepat di perbaiki, 3. diantara 50x pasti ada 1 yang jelas mah #parah"
M H W,5,2022-07-28 1:47:29,Setelah beberapa hari dicoba baru bisa daftar. Sebelumnya susaaaahhh banget. Terima kasih sudah memudahkan untuk bertransaksi. Tolong ditingkatkan lagi pelayanannya dan aplikasi nya untuk lebih memudahkan kami.
Maryunus Arafat,1,2022-07-28 1:44:05,"Saat daftar, saat proses rekam video selalu ada masalah di dgn jaringan, padahal sudah gonta-ganti jaringan masih gagal terus, bintang 1 dulu sampe selesai masalah nya."
Noviani lestari,1,2022-07-28 1:30:55,"Praktis, cepat, mudah dan sangat membantu"
Esti Tika,1,2022-07-28 1:28:00,Mau daftar susah sekali..sudah sampai di link ..tapj setiap di klik pasti muncul tulisan link tidak valid..coba ulangi..dan sudah saya ulangi berkali kali juga tetap begitu..minta tolong di custumer servise bri ya tetap gitu..katanya suruh ngulang besuk besuk lgi
Iqbal Fadillah,1,2022-07-28 0:52:03,"Mudah digunakan, fiturnya lengkap, tampilan menarik dan bagus"
Krisna Iswanda,1,2022-07-28 0:13:15,"Kenapa susah sekali untuk mengupload video di brimo, saya memakai jaringan wifi dan selalu tidak ada jaringan. Padahal jaringan wifi saya stabil."
Mas Smally,5,2022-07-27 23:03:27,"Sangat mudah di gunakan lebih aman, data transaksi pun tersimpan sehingga mudah bila transfer lagi, saya daftar brimo pun langsung ke bank unit, lsnsung berhasil dan tidak ribet"
nenti mustikasari,5,2022-07-27 21:56:26,"Aplikasi ini emang sesuai sama namanya bikin ""CERIA""..... limit besar tenornya cicilan panjang nyampe 12 bln, makasih CERIA.... Mangga yg butuh dana tunai&cicilan download aplikasi Ceria...."
Vj Yan,1,2022-07-27 17:17:59,"Mantul,jadi simple dan mudah"
Tiara Vi,1,2022-07-27 14:41:44,Ok membuat transaksi lebih mudah dan efisien cepat dan lancar
Abdul Kholik,5,2022-07-27 14:16:18,"Alhamdulillah akhirnya bisa buka rekening lewat online dan bisa langsung daftar brimo juga. Sebelumnya buat rek simpedes gak bisa, trus beralih ke britama malah bisa, dan sukses, tinggal ambil buku rek ke kantor, usaha tidak akan mengkhianati hasil, eaaaa.. Nice."
Wahyu krisna A A Gede,1,2022-07-27 13:31:59,"BRImo sangat praktis , mudah bagus dan cepat"
Samsul Hidayat,5,2022-07-12 5:31:24,"Mantap, mudah, cepat proses nya secepat kilat, gak sampe nunggu beberapa menit, cuman itungan detik uang langsung sampe, terimakasih BRImo.."
Harpikad Pakaya,5,2022-07-27 12:51:06,"Aku kasih bintang 5 karena sangat mudah di gunakan aplikasi ini. Transper ke teman/keluarga,bayar tagihan/cicilan,dan beli pulsa juga. Dst terima kasih🙏"
Rina Ariska,1,2022-07-27 12:22:36,"Ini solusinya gimana yah, dari minggu lalu upload video verifikasi tapi tdk berhasil, sudah ke kantor cabang tapi tetap tidak bisa. Sudah ganti jaringan ini itu tapi tetap tdk bisa terupload videonya,padahal jaringan Full dan bagus. Mohon solusinya"
Sahrul Bateput,5,2022-09-03 6:15:28,Sangat bagus 👍
Abubakar Boli,1,2022-07-27 11:10:57,Langkah ketiga PROSES PEREKAMAN VIDEO kok selalu gagal dengan keterangan TIDAK ADA KONEKSI INTERNET..... Yang bener aja. Jaringan internet 4G full kok. Mohon petunjuk tuk solusinya
Lenny Wati,1,2022-07-27 10:18:12,"Mau registrasi di aplikasi, tapi macet dari bagian verifikasi video, sudah jelas pencahayaannya, sampai lebih dari 10 kali tetap gagal, tolong lebih dipermudah kan lagi"
Toto Aditya,4,2022-07-12 6:58:38,"Baik dan memudahkan, bisa untuk berbagai jenis pembayaran."
Ardhy,1,2022-07-27 8:31:04,BRI thaik. Keblokir terus. Padahal gak ada login atau apaan. Sehari aja bisa keblokir ampe 3x Ampe bosen reset password. Udah per OTP nyedot pulsa banyak. Cukkk... Ubah userid gak semudah itu juga bambang... Nubs kalen emang. Lagian di sistem aja gak bisa ubah userid juga.
Erma Nuryani,5,2022-07-27 7:59:12,"Aplikasi lancar. Buka rekening, daftar internet banking, bisa dilakukan hanya lewat hape.. Beberapa kali transaksi tidak ada kendala. Keuangan saya sangat terbantu. Terimakasih.."
Kasma Wati,5,2022-07-12 10:34:04,Sangat mudah dan memudahkan transaksi 👍👍👍
Susi Herlina,5,2022-07-27 6:48:14,"Sangat membantu sekali dalam lalu lintas keuangan,hanya saja kadang suka sport jantung kalau jaringannya lagi error atau gangguan,tapi pokok ya mah top..top..markotop deh,terimakasih."
Dina No,5,2022-07-27 6:00:19,"Gimana sih...daftar brimo tidak masuk...gagal di upload video...dah berkali2 tetep tidak bisa...di cs pun suruh daftar sendiri dibantu satpam,tapi tetep aja tidak bisa...haduh gimn sih"
Dwi Arifianto,1,2022-07-27 5:55:56,"Ini gimana sih susah bgt upload vidio, udh nyoba pake wifi smpe 5x ngga bisa alasanya sinyalnya jelek, ini aplikasinya masih jelek, kurang memuaskan"
Trouble Maker8081,1,2022-07-27 5:55:47,"Udah 2 hari masukin data sperti yg diminta udah komplit..tetap saja balesanya""maaf data anda masih tidak sama dgn data kami""klu udah bnyk yg kompline harusnya sesegera mungkin direspon trus dibenerin...ngarep proses cepat ujungnya ribet buang waktu!!"
Niran Ranni,1,2022-07-27 5:53:47,"Ternyata benar,pas udah nyampe ke perekaman video mlah gabisa hedewh... Maaf bintang 1 dulu..semoga kedepan.nya bisa diperbaiki agar bisa mudah untuk di gunakan"
TIO SADEWO,1,2022-07-27 4:30:55,tolong kepada BRI yang pembuat aplikasi brimo. klo gak bisa bikin aplikasi mending gak usah bikin. daripad b aj di bikin susah. giliran udah bisa daftar mo login selalu gk bisa padahal udah bener semua. alesanya nama dan password nya salah. klo gk gtu periksa jaringan internet. aplikasi macem apa ini gak jelas
Viqi Mirza,1,2022-07-27 4:29:59,"memiliki fitur yang lengkap, mudah digunakan, UI bagus dan praktis digunakan sehari-hari"
ina laila,1,2022-07-27 4:18:33,"Sangat membantu, mudah dan simpel penggunaan, makasih BRImo"
Naila Attamimi,1,2022-07-27 4:09:20,"Kurang bermanfaat banget, udah pake aplikasi e malah kagak bisa aplikasi Nya. Sama aja harus antri cs juga. Nambah waktu nunggu sampe 3 jam lagi.... Huuu perlu banyak perbaikan ya."
Monika Febiyanti,1,2022-07-27 3:55:31,Vertifikasi susah bgt pas rekam vidio padahal muka dan koneksi internet sudah stabil sudah bagusss tp tetap aja gagal trus..tolong dong di perbaiki lagi aplikasinya bukannya mempermudah malah mempersulit..sudah berkali kali merekam tetap nggak bisa trus udah hampir 2 mingguan vertifikasi ulang ulang trus
dimassothil dimassothil,5,2022-07-27 3:53:36,Pendaftaran selalu gagal ternyata ada huruf yang harus di perhatikan kapital nya....giliran huruf kapital nya udah sesuai cepet bngt proses nya gk nyampai beberapa menit lngsung bisa.trmksh.
Sumi Atun,5,2022-07-27 3:33:13,"Susah masuk, atau daftar , paling sulit fto ktp harus pas dilalam bingkai yg pas, dan hp tdk bisa di klik, atau mingkin setelah pas bisa klik senditi ? Mohon jalan keluarnya boskuh"
Anom Pamungkas,5,2022-07-12 9:20:13,Bagus dan dapat membantu kerjaan lebih efisien
Ranila Handayani,1,2022-07-27 2:42:34,"Registrasi selalu gagal, pada tahapan setelah ambil video selalu tertulis koneksi tidak ada, padahal koneksi internet ada. Di coba berulang2 juga masih tetap sama. Tolong diperbaiki dan diperhatikan."
Dedi Su,1,2022-07-27 2:18:44,"Awalnya lupa password diperbaiki lewat link,email nomor hp tetap tidak bisa keterangan ada kesalahan terus datang kekantor sama CS dicek datanya eh USER ID BERUBAH siapa yang merubahnya coba Terus didaftarin lagi yang baru eh sistemnya lagi error linknya dari sms tidak bisa dibuka aku kon piye 🤣"
Alaudin Runggabala,5,2022-07-27 2:08:42,"Ini aplikasi sangat bermanfaat, ringan cepat terbuka aplikasinya di banding linkaja lama loadingnya..,tidak pergi lagi dimesin ATM....agar aplikasinya berjalan normal setiap mau keluar aplikasi harus tekan akun, dan logout agar aplikasinya cepat respon saat dibuka kembali, ini aplikasi dirancang dengan lapisan keamanan tinggi."
Bedhik kacot,5,2022-07-27 1:41:52,"Baru bisa daftar dan login tahun 2022 sejak 2021 tidak bisa, ternyata fungsi aplikasi nya emang mantap top markotop beda dari BRI mobile , dan tidak perlu pulsa jika mau melakukan transfer cek saldo dll, saya puas dengan aplikasi ini tolong di pertahankan dan tingkatkan lagi..."
Muhammad Faisal Abdurrahman,1,2022-07-27 0:34:34,"Sangat mengecewakan. Sy pernah Transfer ke no rek sesama BRi dengan memasukkan norek tujuan sdh benar namun pada saat di submit muncul nama nasabah norek tujuan tapi norek berubah dengan nama yg sama,, dana sdh terkirim namun norek yg dituju berbeda dgn norek yg di input awal.. Sampai saat ini dana tsb tdk bisa diambil lagi.."
kate Frend,1,2022-07-27 0:26:46,"Tidak bisa daftar brimo karena di tahap 3 tidak bisa berlanjut,. Dikarenakan link yang dikirim melalui SMS tidak valid., Tolong Jangan kirim link yang tidak valid ya.. padahal nomor telpon dan email sudah terdaftar di BRI."
Rosim Bule,5,2022-09-03 13:11:30,Cukup puas Jadi lebih cepat...
Amienk80ys AJ,3,2022-07-26 23:02:18,"Terlalu ribet aplikasi ini, gk pernah ada perbaikan, masuk susah giliran dah aktif mau transaksi, sedikit kesalahan aja terus di blokir. Gk kayak flipp atau app lainnya daftar dan transaksi mudah dan aman."
Desi Azizah,5,2022-07-26 18:40:55,"Makasih BRImo adanya kamu bikin kita mudah untuk bertransaksi, mau jauh atau dekat sama saja, engga perlu capek - capek antri di kantor lagi."
adjie sulistiono,1,2022-07-26 17:28:06,"Aplikasi masih lemot,kalah sama bank yg sebelah. Bank sebelah tampilan simple buat jaringan oke,jangan mau kalah lah,masa punya negara begini hasil app nya... Ini app isi nya transaksi uang,kalo lemot dikit bahaya bisa salah Tranfer!! #BEBENAH!!!"
Hedar rzk,1,2022-07-26 17:10:57,"Apk gak ada gunanya, verifikasi data sudah dikirim berkali kali tetap tulisannya ""tidak ada internet"" padahal sudah memakai wifi dan data seluler, mau nya apa brimo anak ngen...."
Rudhi Anto,1,2022-07-26 15:41:45,"Gimana nih, tak ada hujan tak ada angin tiba-tiba terblokir, pas mau di buka, Diwaktu yg sangat dibutuhkan, Tolong dong buat kami yg di plosok, biar mudah buat bertransaksi.. Mau di reset malah gagal trs..."
Novita Dewi,1,2022-07-26 13:44:49,"memiliki fitur yang lengkap, mudah digunakan, UI bagus dan praktis digunakan sehari-hari bagus sangat membantu"
Ordxy Boy,1,2022-07-26 12:15:22,"Tidak bisa transfer ke internasional bank. Saya sudah mencobanya beberapa kali tetp tidak bisa. Entah apa kendalanya untuk konfirmasi ""selanjutnya"" Tidak bisa diklik"
Doni Resha,1,2022-07-26 11:49:48,"Mutasi rekeningnya ngaco, kadang muncul kadang engga. Trs ga realtime ada jeda setelah uang masuk, ga langsung muncul mutasinya."
Imelda Indah Putri Hia,3,2022-07-26 11:46:19,"Aplikasinya jelek ,tiap verivikasi Vidio ,selalu tidak ada koneksi internet ,padahal jaringan stabil."
Wulan Dari,5,2022-07-26 11:27:28,"Sudah hampir 2 tahun sy menggunakan aplikasi brimo ini dan belum pernah terjadi error system. Penggunaan penyimpanan jg sedikit, jd ringan utk di download di gadget sy yg penyimpanannya terbatas. Terimakasih BRI telah memudahkan transaksi online sy dgn aman."
Dedy Setyawan,5,2022-07-26 11:14:49,Lancar penggunaannya. Semoga keamanan tetap prioritas. Tapi sayangnya belum ada menu setor tunai. Sehingga kalo mau setor harus pakai kartu ATM.B
benediktus widianto,5,2022-07-26 9:15:29,"Sejauh ini lebih oke, dahulu kala pernah berkali kali eror sampai saya tutup rekening yg pertama, setelah itu lebih kondusif, mungkin efek setelah merekrut bang boril jadi BA nya dan efek menjadi sponsor utama Liga 1, tingkatkan terus pelayan, kemanan dan dividwn nya $BBRI"
Dwi Wulan I eL,1,2022-07-26 8:54:58,Ini gimana sii dri teller dsuruh pulang. berkali kali trouble. Stlah di tahap upload video ada info periksa koneksi.. Ini udah kuat banget koneksinya. Awalnya karna diminta ganti card ATM krna tbtb ga kedetec tapi ke teller ktnya belum tersedia dan tidak tahu kapan adanya. Ada solusi lain kah sedangkan mbangkingnya ga bisa bisa nge daftar😔
dentha animator,1,2022-07-26 8:07:38,"waktu mau tahap perivikasi ud dpet link aktifasi lewat sms ,sekali di klik linknya di bilang link gk valid, padahal yg bantu security dan CS bank nya yg di kantor cabang tapi tetep juga gk bisa sampai berulang2 kali sampe pake tablet CS nya juga gk bisa ,ujung2nya buka rekening tanpa ATM krna gk ada kartunya dan gk bisa BRImo. kacau sekelas BRI ngedelove aplikasi kaya begini."
Karsito,1,2022-07-26 7:41:16,"memiliki fitur yang lengkap, mudah digunakan, UI bagus dan praktis digunakan sehari-hari bagus sangat membantu proses cepat"
harfian ardi,1,2022-07-26 7:25:02,"memiliki fitur yang lengkap, mudah digunakan, praktis digunakan sehari-hari bagus sangat membantu BRImo sangat bagus"
Husma Ria,1,2022-07-26 7:05:22,Ini app gak ada gunanya.. Banyak kali potongan dana.. Saldo 800 bisa cuma tinggal 300.. Gak jelas.. Udah call cs pun tetap harus ke bank buat mutasi.. Gak ada gunanya app ini..
HDZ PICT,1,2022-07-26 6:55:19,"ga bisa daftar akun, selalu loading lama dan gagal di verifikasi email padahal masa aktif otp masih ada tapi di aplikasi nya otp kedaluwarsa, pengen rating tinggi tapi kualitas aplikasi rendah"
eka lestari,1,2022-07-26 6:05:24,"Praktis, cepat, bagus, mudah dan sangat membantu"
Gaffa Aditya,1,2022-07-26 5:41:14,Sangat mudah dan cepat puas banget ... Trimakasih...
Andik firmansyah,1,2022-07-26 5:33:24,Sungguh mengecewakan... Udah di suruh nunggu atmnya di tambah brimo nya gak bisa buat daftar.. Ini manngsutnya bri bagai mana.. Kalo brimo nya gak bisa setidaknya kartu atmnya langsung jadi ini gimana buat transaksi nya udah gak bisa mikir lagi
ORANG KERE,1,2022-07-26 5:04:11,Buat aku berimo susah selalu gagal untu perekam wajah padahal sudah ulang kali rekam wajah tapi masih gagal tolong dong untuk aplikasi brimo nya di perbaiki lagi ... bukanya mempermudah malah mempersulit
Ayu Widya,1,2022-07-26 4:52:27,"BRImo sangat praktis , mudah bagus dan cepat"
Wahyu Desantyo,1,2022-07-26 4:38:32,"Aplikasi tidak jelas, pas mau upload video malah nggak ada internet padahal sinyal lancar² aja. Mohon diperbaiki"
Ardian Clasher,5,2022-07-26 3:58:41,"Sangat mempermudah,tidak Ribet harus ke atm Lagi..Namun Aplikasinya Di tingkikatkan lagi untuk Permuda Daftar Lewat aplikasi.Karena masih ada Bug Untuk Daftar Melalui Aplikasinya.."
Eka febtia Utami,3,2022-07-26 3:49:57,"mudah, praktis, cepat dan sangat membantu"
Riska Farizqa,1,2022-07-26 3:20:45,"Tiap rekam video selalu gagal, bukannya mempermudah pelanggan malah mempersulit. Petunjuk udah diikuti, kualitas video bagus tetep aja gagal"
rudi H,5,2022-07-11 16:25:26,Sangat bagus dan membantu mempermudah pambayaran
Eli Reni,1,2022-07-26 2:29:25,"Saya pemakai 4 aplikasi mobile banking, cuma Brimo doang yang di menu transfer BI fastnya diumpetin dan gak bisa simpan nomor rekening. Biar apa? Biar nasabah malas pakai BI fast dan kalian bs pungut biaya transfer maksimal? Keterlaluan kapitalisnya."
hendri setiyawan,1,2022-07-25 23:13:37,"Sangat mengesalkan sekali,,, udh 5x user id tiba2 diblokir,,, 5x ganti lupa pasword biar bisa login kembali,, entah apa yg merasukimu m bangking bri,, mohon maaf yah,, ini bukan salah pasword tp user id dan pasword sudah benar,, tp tetep aja ga bisa masuk dg keterangan user anda terblokir,,,"
Arjuna oplosan,1,2022-07-25 22:57:59,Kenapa kok jadi ga bisa masuk.. Gmana ni aplikasi ga konsisten... baru 2 minggu pake. Udah terblokir ga bisa masuk.. tolong dong perbaiki
Titiyanti Rantepasang,5,2022-07-12 0:30:33,"Mudah, cepat, ringkas aplikasinya"
Cici Lebong,1,2022-07-25 19:12:21,Aneh kalau memakai aplikasi BRIMO sekarang kok susah banget ya mau daftarnya padah aplkasi sebelumnya aman aman aja tu. ASLI SUSAH. KALAU kali ini masih susah daftarnya terpaksa di delet aja aplikasinya soal mau yang lebih peraktis. O ya satu lagi yang paling aneh itu kalau bulak apk lain koneksi internet cepat banget tapi kalo lagi bulak apk BRIMO langsung deh koneksi buruk sekali
Nanang,1,2022-07-25 17:07:05,"Aneh kok setiap jam 10 malam ke atas gak bisa transfer kemanapun, malah transaksi gagal. Ku kira apk brimo tuh untuk mempermudah pengguna, nyatanya gak juga"
Nur Yanti,1,2022-07-25 16:05:06,"Cuma mau daftar brimo aja susahnya minta ampun, gagal trus kesel sndri...apk online bukannya mempermudah malah gk ad mudah""nya sm sekali, percuma dibkin apk kl buat daftar masuk nya aja bkin emosi.."
Yohanes V. J Lowa,1,2022-07-25 12:57:48,"Aplikasinya bikin sulit pengguna Masa daftar akun brimo hanya tinggal verifikasi emailnya, waktu verifikasi kodenya masih lama tapi kodenya sudah kadaluarsa , coba perbaiki lagi brimonya."
Rosim Bule,5,2022-09-03 13:11:30,Cukup puas Jadi lebih cepat...
Saldy,1,2022-07-25 11:01:19,"Aplikasi M-banking terburuk, selalu gagal verifikasi wajah sudah dicoba beberapa kali hasil nya tetep sama, dibilang gak ada koneksi internet lah, padahal saya pake wifi 100mbps. Dikasih 1 bintang aja udah syukur, aplikasi ini gak layak dikasih bintang 1 apa lagi 5. 👎"
Robby Hermawan,1,2022-07-25 9:44:37,"Gagal mulu Verifikasi Video, Tidak Ada Koneksi Internet, hallo bang, ini Kuota Full , Pake Wifi juga ga bisa. Maunya gimana"
Rieky_ Art,2,2022-07-25 7:38:13,Ini gimana si cara tf lewat brimo Kok setelah di update fitur briva nya hilang? Bukannya malah mempermudah malah mempersulit. Tolong untuk diperbaiki lagi
gegert santoso,1,2022-07-25 7:32:49,"Registrasi susah.. Gak bisa upload video.. Padahal jaringan internet kami normal dan sangat bagus.. Sudah banyak dikritik, tapi tetap tidak ada perbaikan, beda dengan layanan perbankan yg lain"
Sipudin KUACI,5,2022-07-25 7:29:51,"Selamat siang menjelang sore.. Tolong bantuan nya dong ,knapa pas buat akun susah banget bagian perifikasi vidio nya?saya sampai brulang"" terus sampe tutorial d youtube gaada yg bisa semua...tolong yaa ,saya percaya pasti apl ini bisa lebih bagus lagi dan praktis.. :)"
Samsul Arifin,1,2022-07-25 6:53:29,Bisa d download tapi g bisa daftar aktifasi.....Kesalahan jaringan??!?? Perbaiki dulu masalah jaringan nya... Masak aplikasi milik pemerintah kayak gini
Bang Feri,1,2022-07-25 6:48:30,Saya bikin atm baru tadi terus kehabisan kartune allhasil di suruh daftar brimo di brimo saya di bikin kesal karna gak bisa² upload video jaringan 4G 5G wifi paketan full tetep gak bisa. Di saat komplain di bank suruh hapus instal ulang lagi sampek kesel sendiri. Intinya kacau nih appny
Iskandar Putra,1,2022-07-25 6:36:35,Gimana sih mau setiap di bagian buat vidio nya gagal terus..padahal jaringan full stabil 4G..tpi udh mau 20 kali gagal terus..tolong lah di perbaiki sistem nya...bikin kenyamanan kepada kami sebagai nasabah...Terima Kasih
Rosim Bule,5,2022-09-03 13:11:30,Cukup puas Jadi lebih cepat...
Irman Emmank,5,2022-09-03 14:50:50,Sangat membantu dan mudah digunakan
Fatur Rahman,1,2022-07-25 4:54:36,"Comstemer servicenya macam taik.di responnya lama banget.apa lagi lewat WhatsApp nya. Di sambungin ke rekannya lama banget buang waktu banget .jadi di sini dilarang mengeluh. Sangat ampas sekali pusat bantuannya bri.kecuali anda punya privilag.atau orang dalam,kurasa bakal lancar ."
Haryanto 0105,1,2022-07-25 4:52:27,Saya sudah berulangkali melakukan perekaman wajah tapi informasinya tidak ada koneksi internet. Padahal di tempat saya jaringan internet sangat baik dan kuat. Saya kasih bintamg 1 aja ya. Bukannya mau mempeemudah nasabah malah mempersulit nasabah. Perbaiki dong aplikasinya.
Rudyanto Saroinsong,5,2022-07-25 3:43:01,"Mantap. Sangat membantu dan bermanfaat ✌️ Seharusnya disediakan juga untuk versi Android 5.0. Yang dulunya bisa sms banking, sekarang tidak bisa lagi karena dialihkan ke BRIMO dengan versi Android terendah Ver.6😂 Kasian, yang biasa jual online, mendadak harus ganti hp baru 🤣"
Sg Rahmadi,5,2022-07-25 3:06:38,Sangat terbaik
Agie Prabowo,1,2022-07-25 2:37:17,"Top up dana tnggl 24 smpe skrng blm masuk jg masih dalam proses, udh menghubungi callcanter, udh kirim email, udh chat via whatsup tetap gk di gubris juga. Gk ada tindakan buat membantu menyelesaikan masalahnya. Yg ada omongannya muter2 dan itu2 aja. Trs ini mau mengadu kesiapa lagi?? masa kudu harus ngadu ke BANK INDONESIA."
Nurhaidah nurhaidah,5,2022-07-25 0:20:48,Selama saya menggunakan aplikasi ini gak menyecewakan sama sekali sih...mantap banget..memudahkan segala urusan.jdi gak repot mau ke ATM lagi klo mau transfer ini itu..
Arief Sandy,1,2022-07-24 20:29:52,"Saya daftar brimo gak perna berhasil di rekaman , notif nya tidak ada jaringan internet padahal udh bagus sinyal .. Tolong di perbaiki lagi app"
